sched,ocs,dp,reuse,wbd,bank,regb,ocu,rfc,case_label,op,stage,stall,remain
gto,1,4,0,1,2,8,8,1,backprop,ALU_OP,SCHEDULER,7301337,9750629
gto,1,4,0,1,2,8,8,1,backprop,ALU_OP,OPERAND_COLLECTOR,0,884641
gto,1,4,0,1,2,8,8,1,backprop,ALU_OP,EXECUTION_PIPELINE,0,237596
gto,1,4,0,1,2,8,8,1,backprop,ALU_OP,WRITEBACK,342,59741
gto,1,4,0,1,2,8,8,1,backprop,DP_OP,SCHEDULER,1413811,1441754
gto,1,4,0,1,2,8,8,1,backprop,DP_OP,OPERAND_COLLECTOR,745803,1111686
gto,1,4,0,1,2,8,8,1,backprop,DP_OP,EXECUTION_PIPELINE,0,1820503
gto,1,4,0,1,2,8,8,1,backprop,DP_OP,WRITEBACK,0,14341
gto,1,4,0,1,2,8,8,1,backprop,INTP_OP,SCHEDULER,1297499,1824965
gto,1,4,0,1,2,8,8,1,backprop,INTP_OP,OPERAND_COLLECTOR,0,431414
gto,1,4,0,1,2,8,8,1,backprop,INTP_OP,EXECUTION_PIPELINE,0,442380
gto,1,4,0,1,2,8,8,1,backprop,INTP_OP,WRITEBACK,430,111025
gto,1,4,0,1,2,8,8,1,backprop,LOAD_OP,SCHEDULER,201359,3689813
gto,1,4,0,1,2,8,8,1,backprop,LOAD_OP,OPERAND_COLLECTOR,25999,248501
gto,1,4,0,1,2,8,8,1,backprop,LOAD_OP,EXECUTION_PIPELINE,0,29462039
gto,1,4,0,1,2,8,8,1,backprop,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,backprop,SFU_OP,SCHEDULER,546,626051
gto,1,4,0,1,2,8,8,1,backprop,SFU_OP,OPERAND_COLLECTOR,176,20181
gto,1,4,0,1,2,8,8,1,backprop,SFU_OP,EXECUTION_PIPELINE,0,194066
gto,1,4,0,1,2,8,8,1,backprop,SFU_OP,WRITEBACK,6,8198
gto,1,4,0,1,2,8,8,1,backprop,SP_OP,SCHEDULER,389527,412454
gto,1,4,0,1,2,8,8,1,backprop,SP_OP,OPERAND_COLLECTOR,0,27656
gto,1,4,0,1,2,8,8,1,backprop,SP_OP,EXECUTION_PIPELINE,0,40960
gto,1,4,0,1,2,8,8,1,backprop,SP_OP,WRITEBACK,172,10412
gto,1,4,0,1,2,8,8,1,bfs,ALU_OP,SCHEDULER,15876,270196
gto,1,4,0,1,2,8,8,1,bfs,ALU_OP,OPERAND_COLLECTOR,0,27734
gto,1,4,0,1,2,8,8,1,bfs,ALU_OP,EXECUTION_PIPELINE,0,35064
gto,1,4,0,1,2,8,8,1,bfs,ALU_OP,WRITEBACK,0,8766
gto,1,4,0,1,2,8,8,1,bfs,INTP_OP,SCHEDULER,1529742,2087661
gto,1,4,0,1,2,8,8,1,bfs,INTP_OP,OPERAND_COLLECTOR,0,288659
gto,1,4,0,1,2,8,8,1,bfs,INTP_OP,EXECUTION_PIPELINE,0,337652
gto,1,4,0,1,2,8,8,1,bfs,INTP_OP,WRITEBACK,0,84413
gto,1,4,0,1,2,8,8,1,bfs,LOAD_OP,SCHEDULER,63992,134030
gto,1,4,0,1,2,8,8,1,bfs,LOAD_OP,OPERAND_COLLECTOR,435,41697
gto,1,4,0,1,2,8,8,1,bfs,LOAD_OP,EXECUTION_PIPELINE,0,5257153
gto,1,4,0,1,2,8,8,1,bfs,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,heartwall,ALU_OP,SCHEDULER,95479,378292
gto,1,4,0,1,2,8,8,1,heartwall,ALU_OP,OPERAND_COLLECTOR,0,77756
gto,1,4,0,1,2,8,8,1,heartwall,ALU_OP,EXECUTION_PIPELINE,0,92208
gto,1,4,0,1,2,8,8,1,heartwall,ALU_OP,WRITEBACK,33,23085
gto,1,4,0,1,2,8,8,1,heartwall,INTP_OP,SCHEDULER,879596,1576483
gto,1,4,0,1,2,8,8,1,heartwall,INTP_OP,OPERAND_COLLECTOR,0,431309
gto,1,4,0,1,2,8,8,1,heartwall,INTP_OP,EXECUTION_PIPELINE,0,519384
gto,1,4,0,1,2,8,8,1,heartwall,INTP_OP,WRITEBACK,215,130061
gto,1,4,0,1,2,8,8,1,heartwall,LOAD_OP,SCHEDULER,148199,269540
gto,1,4,0,1,2,8,8,1,heartwall,LOAD_OP,OPERAND_COLLECTOR,258,60315
gto,1,4,0,1,2,8,8,1,heartwall,LOAD_OP,EXECUTION_PIPELINE,0,9297465
gto,1,4,0,1,2,8,8,1,heartwall,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,heartwall,SFU_OP,SCHEDULER,17456,23470
gto,1,4,0,1,2,8,8,1,heartwall,SFU_OP,OPERAND_COLLECTOR,0,6750
gto,1,4,0,1,2,8,8,1,heartwall,SFU_OP,EXECUTION_PIPELINE,0,56464
gto,1,4,0,1,2,8,8,1,heartwall,SFU_OP,WRITEBACK,0,2448
gto,1,4,0,1,2,8,8,1,hotspot,ALU_OP,SCHEDULER,1954389,2393091
gto,1,4,0,1,2,8,8,1,hotspot,ALU_OP,OPERAND_COLLECTOR,0,1166903
gto,1,4,0,1,2,8,8,1,hotspot,ALU_OP,EXECUTION_PIPELINE,0,474456
gto,1,4,0,1,2,8,8,1,hotspot,ALU_OP,WRITEBACK,259,118873
gto,1,4,0,1,2,8,8,1,hotspot,DP_OP,SCHEDULER,5839436,8470492
gto,1,4,0,1,2,8,8,1,hotspot,DP_OP,OPERAND_COLLECTOR,1067463,1716895
gto,1,4,0,1,2,8,8,1,hotspot,DP_OP,EXECUTION_PIPELINE,0,7663524
gto,1,4,0,1,2,8,8,1,hotspot,DP_OP,WRITEBACK,0,73871
gto,1,4,0,1,2,8,8,1,hotspot,INTP_OP,SCHEDULER,518605,1610316
gto,1,4,0,1,2,8,8,1,hotspot,INTP_OP,OPERAND_COLLECTOR,0,689723
gto,1,4,0,1,2,8,8,1,hotspot,INTP_OP,EXECUTION_PIPELINE,0,775396
gto,1,4,0,1,2,8,8,1,hotspot,INTP_OP,WRITEBACK,2340,196189
gto,1,4,0,1,2,8,8,1,hotspot,LOAD_OP,SCHEDULER,149812,389628
gto,1,4,0,1,2,8,8,1,hotspot,LOAD_OP,OPERAND_COLLECTOR,56226,431279
gto,1,4,0,1,2,8,8,1,hotspot,LOAD_OP,EXECUTION_PIPELINE,0,13044467
gto,1,4,0,1,2,8,8,1,hotspot,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,hotspot,SFU_OP,SCHEDULER,0,14336
gto,1,4,0,1,2,8,8,1,hotspot,SFU_OP,OPERAND_COLLECTOR,64,43493
gto,1,4,0,1,2,8,8,1,hotspot,SFU_OP,EXECUTION_PIPELINE,0,331360
gto,1,4,0,1,2,8,8,1,hotspot,SFU_OP,WRITEBACK,6,14342
gto,1,4,0,1,2,8,8,1,hotspot,SP_OP,SCHEDULER,537321,1026151
gto,1,4,0,1,2,8,8,1,hotspot,SP_OP,OPERAND_COLLECTOR,0,308965
gto,1,4,0,1,2,8,8,1,hotspot,SP_OP,EXECUTION_PIPELINE,0,369552
gto,1,4,0,1,2,8,8,1,hotspot,SP_OP,WRITEBACK,381,92769
gto,1,4,0,1,2,8,8,1,lud,ALU_OP,SCHEDULER,1186,4374
gto,1,4,0,1,2,8,8,1,lud,ALU_OP,OPERAND_COLLECTOR,0,3698
