sched,ocs,op,remain
gto,1,ALU_OP,2726964
gto,1,DP_OP,3073001
gto,1,INTP_OP,4109773
gto,1,LOAD_OP,16268450
gto,1,SFU_OP,108426
gto,1,SPECIALIZED_UNIT_1_OP,20622
gto,1,SP_OP,1497745
gto,2,ALU_OP,2031621
gto,2,DP_OP,4291581
gto,2,INTP_OP,4274426
gto,2,LOAD_OP,38024726
gto,2,SFU_OP,88645
gto,2,SPECIALIZED_UNIT_1_OP,21970
gto,2,SP_OP,1148189
gto,3,ALU_OP,2093284
gto,3,DP_OP,5593628
gto,3,INTP_OP,4753541
gto,3,LOAD_OP,53590672
gto,3,SFU_OP,79571
gto,3,SPECIALIZED_UNIT_1_OP,32365
gto,3,SP_OP,1161408
gto,4,ALU_OP,2138765
gto,4,DP_OP,6319484
gto,4,INTP_OP,5230916
gto,4,LOAD_OP,69159749
gto,4,SFU_OP,78490
gto,4,SPECIALIZED_UNIT_1_OP,38724
gto,4,SP_OP,1133781
lrr,1,ALU_OP,2939588
lrr,1,DP_OP,3271613
lrr,1,INTP_OP,4129092
lrr,1,LOAD_OP,19469156
lrr,1,SFU_OP,108766
lrr,1,SPECIALIZED_UNIT_1_OP,22639
lrr,1,SP_OP,1485757
lrr,2,ALU_OP,2248493
lrr,2,DP_OP,4542168
lrr,2,INTP_OP,4413548
lrr,2,LOAD_OP,40005253
lrr,2,SFU_OP,99011
lrr,2,SPECIALIZED_UNIT_1_OP,23000
lrr,2,SP_OP,1094668
lrr,3,ALU_OP,2384715
lrr,3,DP_OP,5947351
lrr,3,INTP_OP,4902405
lrr,3,LOAD_OP,57152549
lrr,3,SFU_OP,98049
lrr,3,SPECIALIZED_UNIT_1_OP,31626
lrr,3,SP_OP,1061284
