sched,ocs,op,stall
gto,1,ALU_OP,0
gto,1,DP_OP,1973480
gto,1,INTP_OP,0
gto,1,LOAD_OP,8447767
gto,1,SFU_OP,246
gto,1,SPECIALIZED_UNIT_1_OP,1136
gto,1,SP_OP,0
gto,2,ALU_OP,142111
gto,2,DP_OP,3614541
gto,2,INTP_OP,595622
gto,2,LOAD_OP,27673708
gto,2,SFU_OP,1506
gto,2,SPECIALIZED_UNIT_1_OP,5604
gto,2,SP_OP,9685
gto,3,ALU_OP,454913
gto,3,DP_OP,4974190
gto,3,INTP_OP,1200713
gto,3,LOAD_OP,44914429
gto,3,SFU_OP,2803
gto,3,SPECIALIZED_UNIT_1_OP,16131
gto,3,SP_OP,21313
gto,4,ALU_OP,664842
gto,4,DP_OP,5767041
gto,4,INTP_OP,1773845
gto,4,LOAD_OP,60418874
gto,4,SFU_OP,4307
gto,4,SPECIALIZED_UNIT_1_OP,25176
gto,4,SP_OP,30348
lrr,1,ALU_OP,0
lrr,1,DP_OP,2074783
lrr,1,INTP_OP,0
lrr,1,LOAD_OP,10497565
lrr,1,SFU_OP,6292
lrr,1,SPECIALIZED_UNIT_1_OP,483
lrr,1,SP_OP,0
lrr,2,ALU_OP,144841
lrr,2,DP_OP,3749883
lrr,2,INTP_OP,613042
lrr,2,LOAD_OP,28682859
lrr,2,SFU_OP,12711
lrr,2,SPECIALIZED_UNIT_1_OP,6317
lrr,2,SP_OP,9921
lrr,3,ALU_OP,534788
lrr,3,DP_OP,5209890
lrr,3,INTP_OP,1231074
lrr,3,LOAD_OP,47552214
lrr,3,SFU_OP,21217
lrr,3,SPECIALIZED_UNIT_1_OP,15300
lrr,3,SP_OP,21257
