case_label,best_sched,best_ocs,best_cycle,gto_ocs1_cycle,delta_vs_gto_ocs1_pct
backprop,gto,3,20226,21059,-3.95555344508286
bfs,lrr,3,139337,140128,-0.5644839004338875
heartwall,gto,2,10517,11133,-5.5330997934069925
hotspot,gto,3,97244,98737,-1.512097795152778
lud,gto,4,166144,171470,-3.1060826966816335
nn,gto,2,31464,33075,-4.870748299319727
nw,gto,4,138611,141432,-1.9945981107528654
pathfinder,gto,3,34909,35364,-1.2866191607284194
srad_v2,lrr,3,35508,36203,-1.919730409082121
streamcluster,gto,1,1117128,1117128,0.0
