sched,ocs,dp,reuse,wbd,bank,regb,ocu,rfc,case_label,gpu_tot_sim_cycle
gto,1,4,0,1,2,8,8,1,backprop,21059
gto,2,4,0,1,2,8,8,1,backprop,20959
gto,3,4,0,1,2,8,8,1,backprop,20226
gto,4,4,0,1,2,8,8,1,backprop,20623
lrr,1,4,0,1,2,8,8,1,backprop,21864
lrr,2,4,0,1,2,8,8,1,backprop,21454
lrr,3,4,0,1,2,8,8,1,backprop,21337
lrr,4,4,0,1,2,8,8,1,backprop,21243
gto,1,4,0,1,2,8,8,1,bfs,140128
gto,2,4,0,1,2,8,8,1,bfs,139576
gto,3,4,0,1,2,8,8,1,bfs,139417
gto,4,4,0,1,2,8,8,1,bfs,139391
lrr,1,4,0,1,2,8,8,1,bfs,140470
lrr,2,4,0,1,2,8,8,1,bfs,139493
lrr,3,4,0,1,2,8,8,1,bfs,139337
lrr,4,4,0,1,2,8,8,1,bfs,139502
gto,1,4,0,1,2,8,8,1,heartwall,11133
gto,2,4,0,1,2,8,8,1,heartwall,10517
gto,3,4,0,1,2,8,8,1,heartwall,10610
gto,4,4,0,1,2,8,8,1,heartwall,10637
lrr,1,4,0,1,2,8,8,1,heartwall,11367
lrr,2,4,0,1,2,8,8,1,heartwall,10651
lrr,3,4,0,1,2,8,8,1,heartwall,10733
lrr,4,4,0,1,2,8,8,1,heartwall,10716
gto,1,4,0,1,2,8,8,1,hotspot,98737
gto,2,4,0,1,2,8,8,1,hotspot,97802
gto,3,4,0,1,2,8,8,1,hotspot,97244
gto,4,4,0,1,2,8,8,1,hotspot,98455
lrr,1,4,0,1,2,8,8,1,hotspot,100008
lrr,2,4,0,1,2,8,8,1,hotspot,98808
lrr,3,4,0,1,2,8,8,1,hotspot,98733
lrr,4,4,0,1,2,8,8,1,hotspot,99212
gto,1,4,0,1,2,8,8,1,lud,171470
gto,2,4,0,1,2,8,8,1,lud,166561
gto,3,4,0,1,2,8,8,1,lud,166364
gto,4,4,0,1,2,8,8,1,lud,166144
lrr,1,4,0,1,2,8,8,1,lud,171359
lrr,2,4,0,1,2,8,8,1,lud,166705
lrr,3,4,0,1,2,8,8,1,lud,166306
lrr,4,4,0,1,2,8,8,1,lud,166239
gto,1,4,0,1,2,8,8,1,nn,33075
gto,2,4,0,1,2,8,8,1,nn,31464
gto,3,4,0,1,2,8,8,1,nn,31642
gto,4,4,0,1,2,8,8,1,nn,31892
lrr,1,4,0,1,2,8,8,1,nn,32891
lrr,2,4,0,1,2,8,8,1,nn,32148
lrr,3,4,0,1,2,8,8,1,nn,31663
lrr,4,4,0,1,2,8,8,1,nn,31974
gto,1,4,0,1,2,8,8,1,nw,141432
gto,2,4,0,1,2,8,8,1,nw,139333
gto,3,4,0,1,2,8,8,1,nw,138789
gto,4,4,0,1,2,8,8,1,nw,138611
lrr,1,4,0,1,2,8,8,1,nw,141432
lrr,2,4,0,1,2,8,8,1,nw,139333
lrr,3,4,0,1,2,8,8,1,nw,138789
lrr,4,4,0,1,2,8,8,1,nw,138611
gto,1,4,0,1,2,8,8,1,pathfinder,35364
gto,2,4,0,1,2,8,8,1,pathfinder,35018
gto,3,4,0,1,2,8,8,1,pathfinder,34909
gto,4,4,0,1,2,8,8,1,pathfinder,34999
lrr,1,4,0,1,2,8,8,1,pathfinder,35337
lrr,2,4,0,1,2,8,8,1,pathfinder,35048
lrr,3,4,0,1,2,8,8,1,pathfinder,34965
lrr,4,4,0,1,2,8,8,1,pathfinder,35014
gto,1,4,0,1,2,8,8,1,srad_v2,36203
gto,2,4,0,1,2,8,8,1,srad_v2,35819
gto,3,4,0,1,2,8,8,1,srad_v2,35663
gto,4,4,0,1,2,8,8,1,srad_v2,35537
lrr,1,4,0,1,2,8,8,1,srad_v2,35969
lrr,2,4,0,1,2,8,8,1,srad_v2,35928
lrr,3,4,0,1,2,8,8,1,srad_v2,35508
lrr,4,4,0,1,2,8,8,1,srad_v2,35535
gto,1,4,0,1,2,8,8,1,streamcluster,1117128
gto,2,4,0,1,2,8,8,1,streamcluster,1120514
gto,3,4,0,1,2,8,8,1,streamcluster,1119500
gto,4,4,0,1,2,8,8,1,streamcluster,1128674
lrr,1,4,0,1,2,8,8,1,streamcluster,1121911
lrr,2,4,0,1,2,8,8,1,streamcluster,1125056
lrr,3,4,0,1,2,8,8,1,streamcluster,1127237
lrr,4,4,0,1,2,8,8,1,streamcluster,1137612
