case,case_label,config,sched,ocs,reuse,rfc,bank,wbd,regb,ocu,dp,reuse_time,rfc_compiler_reuse_time,rfc_compiler_reuse_hit_time,reuse_time_rate,rfc_compiler_reuse_rate,computed_reuse_time_rate,computed_rfc_compiler_reuse_rate,compiler_reuse_coverage_pct,compiler_reuse_hit_over_all_reuse_pct,log_path
backprop-rodinia-2.0-ft_4096___data_result_4096_txt,backprop,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528,gto,1,0,1,2,1,8,8,4,23802,6144,4096,3.874,0.6667,3.8740234375,0.6666666666666666,25.812956894378626,17.20863792958575,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528/backprop-rodinia-2.0-ft_4096___data_result_4096_txt/backprop-rodinia-2.0-ft_4096___data_result_4096_txt.log
backprop-rodinia-2.0-ft_4096___data_result_4096_txt,backprop,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839,gto,2,0,1,2,1,8,8,4,15861,6144,2792,2.5815,0.4544,2.58154296875,0.4544270833333333,38.73652354832608,17.602925414538806,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839/backprop-rodinia-2.0-ft_4096___data_result_4096_txt/backprop-rodinia-2.0-ft_4096___data_result_4096_txt.log
backprop-rodinia-2.0-ft_4096___data_result_4096_txt,backprop,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144,gto,4,0,1,2,1,8,8,4,14943,6144,2082,2.4321,0.3389,2.43212890625,0.3388671875,41.11624171853042,13.93294519172857,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144/backprop-rodinia-2.0-ft_4096___data_result_4096_txt/backprop-rodinia-2.0-ft_4096___data_result_4096_txt.log
backprop-rodinia-2.0-ft_4096___data_result_4096_txt,backprop,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455,gto,6,0,1,2,1,8,8,4,10462,6144,1253,1.7028,0.2039,1.7027994791666667,0.20393880208333334,58.72682087554961,11.97667749952208,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455/backprop-rodinia-2.0-ft_4096___data_result_4096_txt/backprop-rodinia-2.0-ft_4096___data_result_4096_txt.log
backprop-rodinia-2.0-ft_4096___data_result_4096_txt,backprop,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801,lrr,1,0,1,2,1,8,8,4,6900,6144,2781,1.123,0.4526,1.123046875,0.45263671875,89.04347826086956,40.30434782608695,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801/backprop-rodinia-2.0-ft_4096___data_result_4096_txt/backprop-rodinia-2.0-ft_4096___data_result_4096_txt.log
backprop-rodinia-2.0-ft_4096___data_result_4096_txt,backprop,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111,lrr,2,0,1,2,1,8,8,4,4626,6144,708,0.7529,0.1152,0.7529296875,0.115234375,132.81452658884564,15.304798962386512,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111/backprop-rodinia-2.0-ft_4096___data_result_4096_txt/backprop-rodinia-2.0-ft_4096___data_result_4096_txt.log
backprop-rodinia-2.0-ft_4096___data_result_4096_txt,backprop,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422,lrr,4,0,1,2,1,8,8,4,5338,6144,794,0.8688,0.1292,0.8688151041666666,0.12923177083333334,115.09928812289247,14.874484825777445,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422/backprop-rodinia-2.0-ft_4096___data_result_4096_txt/backprop-rodinia-2.0-ft_4096___data_result_4096_txt.log
backprop-rodinia-2.0-ft_4096___data_result_4096_txt,backprop,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733,lrr,6,0,1,2,1,8,8,4,6188,6144,665,1.0072,0.1082,1.0071614583333333,0.10823567708333333,99.28894634776988,10.74660633484163,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733/backprop-rodinia-2.0-ft_4096___data_result_4096_txt/backprop-rodinia-2.0-ft_4096___data_result_4096_txt.log
bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt,bfs,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528,gto,1,0,1,2,1,8,8,4,36711,10988,5696,3.341,0.5184,3.341008372770295,0.5183836912995996,29.93108332652338,15.51578545939909,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt.log
bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt,bfs,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839,gto,2,0,1,2,1,8,8,4,30968,10988,5776,2.8183,0.5257,2.8183472879504916,0.5256643611212232,35.48178765176957,18.651511237406353,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt.log
