case_label,sched,ocs,reuse_time,rfc_compiler_reuse_time,rfc_compiler_reuse_hit_time,reuse_time_rate,rfc_compiler_reuse_rate,compiler_reuse_coverage_pct,compiler_reuse_hit_over_all_reuse_pct
backprop,gto,1,23802,6144,4096,3.8740234375,0.6666666666666666,25.812956894378626,17.20863792958575
backprop,gto,2,15861,6144,2792,2.58154296875,0.4544270833333333,38.73652354832608,17.602925414538806
backprop,gto,4,14943,6144,2082,2.43212890625,0.3388671875,41.11624171853042,13.93294519172857
backprop,gto,6,10462,6144,1253,1.7027994791666667,0.20393880208333334,58.72682087554961,11.97667749952208
backprop,lrr,1,6900,6144,2781,1.123046875,0.45263671875,89.04347826086956,40.30434782608695
backprop,lrr,2,4626,6144,708,0.7529296875,0.115234375,132.81452658884564,15.304798962386512
backprop,lrr,4,5338,6144,794,0.8688151041666666,0.12923177083333334,115.09928812289247,14.874484825777445
backprop,lrr,6,6188,6144,665,1.0071614583333333,0.10823567708333333,99.28894634776988,10.74660633484163
bfs,gto,1,36711,10988,5696,3.341008372770295,0.5183836912995996,29.93108332652338,15.51578545939909
bfs,gto,2,30968,10988,5776,2.8183472879504916,0.5256643611212232,35.48178765176957,18.651511237406353
bfs,gto,4,23924,10988,1485,2.1772843101565345,0.13514743356388786,45.928774452432705,6.2071559939809395
bfs,gto,6,20567,10988,244,1.8717692027666546,0.02220604295595195,53.42539018816551,1.186366509456897
bfs,lrr,1,29349,10988,3787,2.6710047324353843,0.34464870768110667,37.43909502879144,12.903335718423115
bfs,lrr,2,27777,10988,4450,2.5279395704404806,0.40498725882781217,39.5579076214134,16.02044857256003
bfs,lrr,4,22361,10988,1150,2.0350382235165636,0.1046596286858391,49.1391261571486,5.142882697553777
bfs,lrr,6,20657,10988,432,1.879959956315981,0.039315617036767385,53.19262235561795,2.0913007697148664
heartwall,gto,1,27859,816,0,34.14093137254902,0.0,2.929035500197423,0.0
heartwall,gto,2,22114,816,93,27.100490196078432,0.11397058823529412,3.689970154653161,0.4205480690965
heartwall,gto,4,19134,816,45,23.448529411764707,0.05514705882352941,4.264659767952336,0.23518344308560676
heartwall,gto,6,16402,816,29,20.100490196078432,0.03553921568627451,4.97500304840873,0.17680770637727106
heartwall,lrr,1,20390,816,0,24.987745098039216,0.0,4.001961745953899,0.0
heartwall,lrr,2,18240,816,41,22.352941176470587,0.05024509803921569,4.473684210526316,0.22478070175438597
heartwall,lrr,4,16520,816,10,20.245098039215687,0.012254901960784314,4.939467312348668,0.06053268765133172
heartwall,lrr,6,16829,816,169,20.623774509803923,0.20710784313725492,4.848772951452849,1.0042189078376613
hotspot,gto,1,141842,96256,27338,1.4735912566489362,0.2840134640957447,67.8614232737835,19.273557902454844
hotspot,gto,2,98688,96256,27440,1.0252659574468086,0.28507313829787234,97.53566796368352,27.804798962386513
hotspot,gto,4,78221,96256,25093,0.8126350565159575,0.2606902426861702,123.05646821186127,32.079620562253105
hotspot,gto,6,58005,96256,8792,0.6026117852393617,0.09133976063829788,165.9443151452461,15.157314024653045
hotspot,lrr,1,79731,96256,24485,0.8283223902925532,0.2543737533244681,120.7259409765336,30.70951072982905
hotspot,lrr,2,85226,96256,23275,0.8854097406914894,0.2418031083776596,112.9420599347617,27.309741158801305
hotspot,lrr,4,83395,96256,7780,0.8663875498670213,0.08082613031914894,115.42178787697104,9.329096468613226
hotspot,lrr,6,66610,96256,8222,0.6920088098404256,0.08541805186170212,144.50683080618523,12.343491968172946
lud,gto,1,6439,1024,590,6.2880859375,0.576171875,15.903090542009629,9.162913495884455
lud,gto,2,7716,1024,328,7.53515625,0.3203125,13.271124935199586,4.250907205806117
lud,gto,4,6774,1024,150,6.615234375,0.146484375,15.116622379687039,2.2143489813994686
lud,gto,6,6365,1024,50,6.2158203125,0.048828125,16.087981146897093,0.7855459544383346
lud,lrr,1,5310,1024,590,5.185546875,0.576171875,19.284369114877588,11.11111111111111
