case_label,ocs,dp,gpu_tot_sim_cycle
backprop,1,4,21088
backprop,1,8,18361
backprop,1,12,17443
backprop,4,4,20199
backprop,4,8,17522
backprop,4,12,16790
backprop,8,4,21005
backprop,8,8,17943
backprop,8,12,16979
bfs,1,4,140314
bfs,1,8,140314
bfs,1,12,140314
bfs,4,4,139301
bfs,4,8,139301
bfs,4,12,139301
bfs,8,4,139346
bfs,8,8,139346
bfs,8,12,139346
heartwall,1,4,11273
heartwall,1,8,11273
heartwall,1,12,11273
heartwall,4,4,10749
heartwall,4,8,10749
heartwall,4,12,10749
heartwall,8,4,10664
heartwall,8,8,10664
heartwall,8,12,10664
hotspot,1,4,98212
hotspot,1,8,77728
hotspot,1,12,73762
hotspot,4,4,96922
hotspot,4,8,75880
hotspot,4,12,70083
hotspot,8,4,97367
hotspot,8,8,75385
hotspot,8,12,69949
lud,1,4,171869
lud,1,8,171869
lud,1,12,171869
lud,4,4,166321
lud,4,8,166321
lud,4,12,166321
lud,8,4,166428
lud,8,8,166428
lud,8,12,166428
nn,1,4,33408
nn,1,8,33408
nn,1,12,33408
nn,4,4,31872
nn,4,8,31872
nn,4,12,31872
nn,8,4,31733
nn,8,8,31733
nn,8,12,31733
nw,1,4,141446
nw,1,8,141446
nw,1,12,141446
nw,4,4,138631
nw,4,8,138631
nw,4,12,138631
nw,8,4,138624
nw,8,8,138624
nw,8,12,138624
pathfinder,1,4,35439
pathfinder,1,8,35439
pathfinder,1,12,35439
pathfinder,4,4,34957
pathfinder,4,8,34957
pathfinder,4,12,34957
pathfinder,8,4,35006
pathfinder,8,8,35006
pathfinder,8,12,35006
srad_v2,1,4,36262
srad_v2,1,8,34398
srad_v2,1,12,34315
srad_v2,4,4,35547
srad_v2,4,8,33620
srad_v2,4,12,33588
srad_v2,8,4,35620
srad_v2,8,8,33464
srad_v2,8,12,33447
streamcluster,1,4,1118972
streamcluster,1,8,1118972
streamcluster,1,12,1118972
streamcluster,4,4,1129283
streamcluster,4,8,1129283
streamcluster,4,12,1129283
streamcluster,8,4,1127871
streamcluster,8,8,1127871
streamcluster,8,12,1127871
