case_label,BANK_CONFLICT,EXEC_NUM_CONFLICT,RFC_NUM_CONFLICT,total,RFC_NUM_CONFLICT_pct,BANK_CONFLICT_pct,EXEC_NUM_CONFLICT_pct
streamcluster,117364,53600706,2448069,56166139,4.358620769713225,0.2089586396529767,95.4324205906338
nn,42849,34908161,3690284,38641294,9.550104610885962,0.11088914361925871,90.33900624549477
backprop,12258,8664154,834601,9511013,8.775101032876309,0.1288821705952878,91.0960167965284
hotspot,53735,3535619,21295,3610649,0.589783166405818,1.4882366023393578,97.92198023125482
srad_v2,11041,1404724,27498,1443263,1.9052660533804302,0.7650026363871312,97.32973131023243
heartwall,9582,517734,13121,540437,2.4278500546779735,1.7730096199927097,95.79914032532932
bfs,7150,224052,2358,233560,1.0095906833361878,3.0613118684706286,95.92909744819318
lud,565,62273,3794,66632,5.693960859647016,0.8479409292832273,93.45809821106975
pathfinder,644,33898,6,34548,0.01736714136853074,1.8640731735556328,98.11855968507584
nw,28,8932,0,8960,0.0,0.3125,99.6875
