case_label,ocs,gpu_tot_sim_cycle
backprop,1,21088
backprop,2,21106
backprop,3,20254
backprop,4,20199
backprop,5,20228
backprop,6,20590
backprop,7,20163
backprop,8,21005
bfs,1,140314
bfs,2,139451
bfs,3,139484
bfs,4,139301
bfs,5,139382
bfs,6,139384
bfs,7,139457
bfs,8,139346
heartwall,1,11273
heartwall,2,10571
heartwall,3,10593
heartwall,4,10749
heartwall,5,10620
heartwall,6,10680
heartwall,7,10727
heartwall,8,10664
hotspot,1,98212
hotspot,2,98650
hotspot,3,97115
hotspot,4,96922
hotspot,5,97938
hotspot,6,96920
hotspot,7,97473
hotspot,8,97367
lud,1,171869
lud,2,166733
lud,3,166596
lud,4,166321
lud,5,166600
lud,6,166325
lud,7,166486
lud,8,166428
nn,1,33408
nn,2,31647
nn,3,31741
nn,4,31872
nn,5,31661
nn,6,31815
nn,7,31558
nn,8,31733
nw,1,141446
nw,2,139356
nw,3,138806
nw,4,138631
nw,5,138839
nw,6,138627
nw,7,138610
nw,8,138624
pathfinder,1,35439
pathfinder,2,35007
pathfinder,3,35129
pathfinder,4,34957
pathfinder,5,35032
pathfinder,6,35006
pathfinder,7,34940
pathfinder,8,35006
srad_v2,1,36262
srad_v2,2,35868
srad_v2,3,35577
srad_v2,4,35547
srad_v2,5,35476
srad_v2,6,35580
srad_v2,7,35634
srad_v2,8,35620
streamcluster,1,1118972
streamcluster,2,1119725
streamcluster,3,1119753
streamcluster,4,1129283
streamcluster,5,1121965
streamcluster,6,1119603
streamcluster,7,1121706
streamcluster,8,1127871
