case_label,op,count,percent,total_instructions
backprop,ALU_OP,59399,22.054275,269331
backprop,DP_OP,14341,5.324675,269331
backprop,INTP_OP,110595,41.062856,269331
backprop,LOAD_OP,66564,24.714571,269331
backprop,SFU_OP,8192,3.041611,269331
backprop,SP_OP,10240,3.802013,269331
bfs,ALU_OP,8766,8.015215,109367
bfs,INTP_OP,84413,77.183245,109367
bfs,LOAD_OP,16188,14.80154,109367
heartwall,ALU_OP,23052,12.923481,178373
heartwall,INTP_OP,129846,72.794649,178373
heartwall,LOAD_OP,23027,12.909465,178373
heartwall,SFU_OP,2448,1.372405,178373
hotspot,ALU_OP,118614,19.749382,600596
hotspot,DP_OP,73871,12.299616,600596
hotspot,INTP_OP,193849,32.276106,600596
hotspot,LOAD_OP,107538,17.905214,600596
hotspot,SFU_OP,14336,2.386962,600596
hotspot,SP_OP,92388,15.38272,600596
lud,ALU_OP,1342,5.801989,23130
lud,INTP_OP,6490,28.058798,23130
lud,LOAD_OP,10078,43.57112,23130
lud,SFU_OP,156,0.674449,23130
lud,SP_OP,5064,21.893645,23130
nn,ALU_OP,41866,7.187333,582497
nn,INTP_OP,144361,24.783132,582497
nn,LOAD_OP,290620,49.892102,582497
nn,SFU_OP,3752,0.644123,582497
nn,SPECIALIZED_UNIT_1_OP,4346,0.746098,582497
nn,SP_OP,97552,16.747211,582497
nw,ALU_OP,640,2.215453,28888
nw,INTP_OP,15128,52.367765,28888
nw,LOAD_OP,13120,45.416782,28888
pathfinder,ALU_OP,2600,12.821145,20279
pathfinder,INTP_OP,11008,54.282756,20279
pathfinder,LOAD_OP,6671,32.896099,20279
srad_v2,ALU_OP,21760,9.746309,223264
srad_v2,DP_OP,11264,5.045148,223264
srad_v2,INTP_OP,83072,37.207969,223264
srad_v2,LOAD_OP,56480,25.297406,223264
srad_v2,SFU_OP,5120,2.293249,223264
srad_v2,SP_OP,45568,20.409918,223264
streamcluster,ALU_OP,75660,7.779229,972590
streamcluster,INTP_OP,154700,15.905983,972590
streamcluster,LOAD_OP,596630,61.344451,972590
streamcluster,SP_OP,145600,14.970337,972590
